time,state,V,label,unix_time,state_numeric,daylight,too_dark
2024-08-06 14:54:07+01:00,NoFlood,8176,Flood,1722952447,0,1,False
2024-08-06 15:00:07+01:00,NoFlood,8176,Flood,1722952807,0,1,False
2024-08-06 15:06:07+01:00,NoFlood,8176,Flood,1722953167,0,1,False
2024-08-06 15:12:07+01:00,NoFlood,8176,Flood,1722953527,0,1,False
2024-08-06 15:18:07+01:00,NoFlood,8176,Flood,1722953887,0,1,False
2024-08-06 15:24:07+01:00,NoFlood,8176,Flood,1722954247,0,1,False
2024-08-06 15:30:07+01:00,NoFlood,8176,Flood,1722954607,0,1,False
2024-08-06 15:36:07+01:00,NoFlood,8176,Flood,1722954967,0,1,False
2024-08-06 15:42:07+01:00,NoFlood,8176,NoFlood,1722955327,1,1,False
2024-08-06 15:48:06+01:00,NoFlood,8176,Flood,1722955686,0,1,False
2024-08-06 15:54:06+01:00,NoFlood,8176,Flood,1722956046,0,1,False
2024-08-06 16:00:07+01:00,NoFlood,8176,Flood,1722956407,0,1,False
2024-08-06 16:06:06+01:00,NoFlood,8176,Flood,1722956766,0,1,False
2024-08-06 16:12:06+01:00,NoFlood,8176,Flood,1722957126,0,1,False
2024-08-06 16:18:07+01:00,NoFlood,8176,Flood,1722957487,0,1,False
2024-08-06 16:24:07+01:00,NoFlood,8176,Flood,1722957847,0,1,False
2024-08-06 16:30:07+01:00,NoFlood,8176,Flood,1722958207,0,1,False
2024-08-06 16:36:07+01:00,NoFlood,8176,Flood,1722958567,0,1,False
2024-08-06 16:42:07+01:00,NoFlood,8176,Flood,1722958927,0,1,False
2024-08-06 16:48:07+01:00,NoFlood,8176,Flood,1722959287,0,1,False
2024-08-06 16:54:07+01:00,NoFlood,8176,Flood,1722959647,0,1,False
2024-08-06 17:00:06+01:00,Flood,8160,Flood,1722960006,0,1,False
2024-08-06 17:06:07+01:00,NoFlood,8176,Flood,1722960367,0,1,False
2024-08-06 17:12:07+01:00,NoFlood,8176,Flood,1722960727,0,1,False
2024-08-06 17:18:07+01:00,NoFlood,8176,Flood,1722961087,0,1,False
2024-08-06 17:24:07+01:00,NoFlood,8176,Flood,1722961447,0,1,False
2024-08-06 17:30:07+01:00,NoFlood,8176,Flood,1722961807,0,1,False
2024-08-06 17:36:07+01:00,NoFlood,8176,Flood,1722962167,0,1,False
2024-08-06 17:48:06+01:00,NoFlood,8176,Flood,1722962886,0,1,False
2024-08-06 17:54:07+01:00,NoFlood,8176,NoFlood,1722963247,1,1,False
2024-08-06 18:18:07+01:00,NoFlood,8176,NoFlood,1722964687,1,1,False
2024-08-06 18:24:07+01:00,NoFlood,8176,NoFlood,1722965047,1,1,False
2024-08-06 18:30:07+01:00,NoFlood,8176,NoFlood,1722965407,1,1,False
2024-08-06 18:36:07+01:00,NoFlood,8176,NoFlood,1722965767,1,1,False
2024-08-06 18:42:07+01:00,NoFlood,8176,Flood,1722966127,0,1,False
2024-08-06 18:48:07+01:00,NoFlood,8176,Flood,1722966487,0,1,False
2024-08-06 18:54:07+01:00,NoFlood,8176,NoFlood,1722966847,1,1,False
2024-08-06 19:00:07+01:00,NoFlood,8176,NoFlood,1722967207,1,1,False
2024-08-06 19:06:07+01:00,NoFlood,8176,Flood,1722967567,0,1,False
2024-08-06 19:12:07+01:00,NoFlood,8176,NoFlood,1722967927,1,1,False
2024-08-06 19:18:07+01:00,NoFlood,8176,Flood,1722968287,0,1,False
2024-08-06 19:24:07+01:00,NoFlood,8176,Flood,1722968647,0,1,False
2024-08-06 19:30:07+01:00,NoFlood,8176,Flood,1722969007,0,1,False
2024-08-06 19:36:07+01:00,NoFlood,8176,NoFlood,1722969367,1,1,False
2024-08-06 19:42:07+01:00,NoFlood,8176,Flood,1722969727,0,1,False
2024-08-06 19:48:07+01:00,NoFlood,8176,Flood,1722970087,0,1,False
2024-08-06 19:54:07+01:00,NoFlood,8176,Flood,1722970447,0,1,False
2024-08-06 20:00:07+01:00,NoFlood,8176,Flood,1722970807,0,1,False
2024-08-06 20:06:07+01:00,NoFlood,8176,Flood,1722971167,0,1,False
2024-08-06 20:12:07+01:00,NoFlood,8176,Flood,1722971527,0,1,False
2024-08-06 20:18:07+01:00,NoFlood,8176,Flood,1722971887,0,1,False
2024-08-06 20:24:06+01:00,NoFlood,8176,Flood,1722972246,0,1,False
2024-08-06 20:30:07+01:00,NoFlood,8176,Flood,1722972607,0,1,False
2024-08-06 20:36:07+01:00,NoFlood,8176,Flood,1722972967,0,1,False
2024-08-06 20:42:07+01:00,NoFlood,8176,NoFlood,1722973327,1,1,False
2024-08-06 20:48:07+01:00,NoFlood,8176,Flood,1722973687,0,1,False
2024-08-06 20:54:06+01:00,NoFlood,8176,Flood,1722974046,0,1,False
2024-08-06 21:00:07+01:00,NoFlood,8176,NoFlood,1722974407,1,1,False
2024-08-06 21:06:07+01:00,NoFlood,8176,Flood,1722974767,0,1,False
2024-08-06 21:12:07+01:00,NoFlood,8176,Flood,1722975127,0,1,False
2024-08-06 21:18:07+01:00,NoFlood,8176,Flood,1722975487,0,1,False
2024-08-06 21:24:07+01:00,NoFlood,8176,NoFlood,1722975847,1,1,False
2024-08-06 21:30:06+01:00,NoFlood,8176,Flood,1722976206,0,1,False
2024-08-06 21:36:07+01:00,NoFlood,8176,NoFlood,1722976567,1,1,False
2024-08-06 21:42:07+01:00,NoFlood,8176,NoFlood,1722976927,1,1,False
2024-08-06 21:54:06+01:00,NoFlood,8176,NoFlood,1722977646,1,1,False
2024-08-06 22:00:07+01:00,NoFlood,8176,NoFlood,1722978007,1,1,False
2024-08-06 22:06:07+01:00,NoFlood,8176,NoFlood,1722978367,1,1,False
2024-08-06 22:12:07+01:00,NoFlood,8176,NoFlood,1722978727,1,1,False
2024-08-06 22:18:07+01:00,NoFlood,8176,NoFlood,1722979087,1,1,False
2024-08-06 22:24:07+01:00,NoFlood,8176,NoFlood,1722979447,1,1,False
2024-08-06 22:30:07+01:00,NoFlood,8176,NoFlood,1722979807,1,1,False
2024-08-06 22:36:07+01:00,NoFlood,8176,NoFlood,1722980167,1,1,False
2024-08-06 22:42:07+01:00,NoFlood,8176,NoFlood,1722980527,1,1,False
2024-08-06 22:48:07+01:00,NoFlood,8176,NoFlood,1722980887,1,1,False
2024-08-06 22:54:07+01:00,NoFlood,8176,NoFlood,1722981247,1,1,False
2024-08-06 23:00:07+01:00,NoFlood,8176,NoFlood,1722981607,1,1,False
2024-08-06 23:06:07+01:00,NoFlood,8176,NoFlood,1722981967,1,1,False
2024-08-06 23:12:07+01:00,NoFlood,8176,NoFlood,1722982327,1,1,False
2024-08-06 23:18:07+01:00,NoFlood,8176,NoFlood,1722982687,1,1,False
2024-08-06 23:24:07+01:00,NoFlood,8176,NoFlood,1722983047,1,1,False
2024-08-06 23:30:07+01:00,NoFlood,8176,NoFlood,1722983407,1,1,False
2024-08-06 23:36:07+01:00,NoFlood,8176,NoFlood,1722983767,1,1,False
2024-08-06 23:48:07+01:00,NoFlood,8176,NoFlood,1722984487,1,1,False
2024-08-06 23:54:07+01:00,NoFlood,8176,NoFlood,1722984847,1,1,False
2024-08-07 00:00:07+01:00,NoFlood,8176,NoFlood,1722985207,1,0,False
2024-08-07 00:06:07+01:00,NoFlood,8176,NoFlood,1722985567,1,0,False
2024-08-07 00:12:07+01:00,NoFlood,8176,NoFlood,1722985927,1,0,False
2024-08-07 00:18:07+01:00,NoFlood,8176,NoFlood,1722986287,1,0,False
2024-08-07 00:24:07+01:00,NoFlood,8176,NoFlood,1722986647,1,0,False
2024-08-07 00:30:07+01:00,NoFlood,8176,NoFlood,1722987007,1,0,False
2024-08-07 00:36:06+01:00,NoFlood,8176,NoFlood,1722987366,1,0,False
2024-08-07 00:42:07+01:00,NoFlood,8176,NoFlood,1722987727,1,0,False
2024-08-07 00:48:07+01:00,NoFlood,8176,NoFlood,1722988087,1,0,False
2024-08-07 00:54:06+01:00,NoFlood,8176,NoFlood,1722988446,1,0,False
2024-08-07 01:00:07+01:00,NoFlood,8176,NoFlood,1722988807,1,0,False
2024-08-07 01:06:07+01:00,NoFlood,8176,NoFlood,1722989167,1,0,False
2024-08-07 01:12:07+01:00,NoFlood,8176,NoFlood,1722989527,1,0,False
2024-08-07 01:18:07+01:00,NoFlood,8176,NoFlood,1722989887,1,0,False
2024-08-07 01:24:07+01:00,NoFlood,8176,,1722990247,-1,0,True
2024-08-07 01:30:07+01:00,Flood,8160,,1722990607,-1,0,True
2024-08-07 01:36:07+01:00,Flood,8160,,1722990967,-1,0,True
2024-08-07 01:42:07+01:00,Flood,8160,,1722991327,-1,0,True
2024-08-07 01:48:07+01:00,Flood,8160,,1722991687,-1,0,True
2024-08-07 01:54:07+01:00,Flood,8160,,1722992047,-1,0,True
2024-08-07 02:00:07+01:00,Flood,8160,,1722992407,-1,0,True
2024-08-07 02:06:07+01:00,Flood,8160,,1722992767,-1,0,True
2024-08-07 02:12:07+01:00,Flood,8160,,1722993127,-1,0,True
2024-08-07 02:18:07+01:00,NoFlood,8176,,1722993487,-1,0,True
2024-08-07 02:24:07+01:00,NoFlood,8176,,1722993847,-1,0,True
2024-08-07 02:30:07+01:00,Flood,8160,,1722994207,-1,0,True
2024-08-07 02:36:07+01:00,NoFlood,8176,,1722994567,-1,0,True
2024-08-07 02:42:07+01:00,NoFlood,8176,,1722994927,-1,0,True
2024-08-07 02:48:07+01:00,Flood,8160,,1722995287,-1,0,True
2024-08-07 02:54:07+01:00,Flood,8160,,1722995647,-1,0,True
2024-08-07 03:00:06+01:00,Flood,8160,,1722996006,-1,0,True
2024-08-07 03:06:06+01:00,Flood,8160,,1722996366,-1,0,True
2024-08-07 03:12:07+01:00,NoFlood,8176,,1722996727,-1,0,True
2024-08-07 03:18:07+01:00,NoFlood,8176,,1722997087,-1,0,True
2024-08-07 03:24:07+01:00,NoFlood,8176,,1722997447,-1,0,True
2024-08-07 03:30:07+01:00,Flood,8160,,1722997807,-1,0,True
2024-08-07 03:36:07+01:00,NoFlood,8176,,1722998167,-1,0,True
2024-08-07 03:54:07+01:00,NoFlood,8176,,1722999247,-1,0,True
2024-08-07 04:00:07+01:00,Flood,8160,,1722999607,-1,0,True
2024-08-07 04:06:07+01:00,NoFlood,8176,,1722999967,-1,0,True
2024-08-07 04:12:07+01:00,Flood,8160,,1723000327,-1,0,True
2024-08-07 04:18:07+01:00,Flood,8160,,1723000687,-1,0,True
2024-08-07 04:24:07+01:00,Flood,8160,,1723001047,-1,0,True
2024-08-07 04:30:07+01:00,Flood,8160,,1723001407,-1,0,True
2024-08-07 04:36:07+01:00,Flood,8160,,1723001767,-1,0,True
2024-08-07 04:42:07+01:00,Flood,8160,,1723002127,-1,0,True
2024-08-07 04:48:07+01:00,Flood,8160,,1723002487,-1,0,True
2024-08-07 04:54:07+01:00,Flood,8160,,1723002847,-1,0,True
2024-08-07 05:00:07+01:00,Flood,8160,,1723003207,-1,0,True
2024-08-07 05:06:07+01:00,Flood,8160,,1723003567,-1,0,True
2024-08-07 05:12:07+01:00,Flood,8160,,1723003927,-1,0,True
2024-08-07 05:18:07+01:00,NoFlood,8176,,1723004287,-1,0,True
2024-08-07 05:24:07+01:00,Flood,8160,,1723004647,-1,0,True
2024-08-07 05:30:07+01:00,Flood,8160,,1723005007,-1,0,True
2024-08-07 05:36:07+01:00,NoFlood,8176,,1723005367,-1,0,True
2024-08-07 05:42:07+01:00,Flood,8160,,1723005727,-1,0,True
2024-08-07 05:48:07+01:00,Flood,8160,,1723006087,-1,0,True
2024-08-07 05:54:07+01:00,Flood,8160,,1723006447,-1,0,True
2024-08-07 06:00:07+01:00,Flood,8160,,1723006807,-1,0,True
2024-08-07 06:06:06+01:00,Flood,8160,,1723007166,-1,0,True
2024-08-07 06:12:07+01:00,Flood,8160,,1723007527,-1,0,True
